"species","body_size","nesting_material","primary_diet","specialization","trophic_rank","native_status","num_nest_mat"
"Anthophora_terminalis",3.05,"Nest tube scrapings","Pollen","Multi-Order","First","Native","Single"
"Anthidium_manicatum",3.44,"Leaf hair","Pollen","Multi-Order","First","Non-Native","Single"
"Chelostoma_rapunculi",1.66,"Mud","Pollen","Family","First","Non-Native","Single"
"Chelostoma_campanularum",1.11,"Mud","Pollen","Family","First","Non-Native","Single"
"Heriades_carinata",1.58,"Resin","Pollen","Multi-Order","First","Native","Single"
"Heriades_variolosa",NA,"Resin","Pollen","Multi-Order","First","Native","Multi"
"Hoplitis_producta",2.1,"Leaf pulp","Pollen","Multi-Order","First","Native","Multi"
"Hoplitis_spoliata",2.62,"Leaf pulp","Pollen","Multi-Order","First","Native","Multi"
"Hoplitis_truncata",NA,"Leaf pulp","Pollen","Multi-Order","First","Native","Single"
"Megachile_brevis",2.93,"Leaf cut","Pollen","Multi-Order","First","Native","Single"
"Megachile_campanulae",2.42,"Resin","Pollen","Multi-Order","First","Native","Single"
"Megachile_centuncularis",3.05,"Leaf cut","Pollen","Multi-Order","First","Non-Native","Single"
"Megachile_frigida",3.41,"Leaf cut","Pollen","Multi-Order","First","Native","Single"
"Megachile_inermis",4.58,"Leaf cut","Pollen","Multi-Order","First","Native","Single"
"Megachile_mendica",3.4,"Leaf cut","Pollen","Multi-Order","First","Native","Single"
"Megachile_pugnata",3.45,"Leaf cut","Pollen","Family","First","Native","Multi"
"Megachile_relativa",3.03,"Leaf cut","Pollen","Multi-Order","First","Native","Single"
"Megachile_rotundata",2.48,"Leaf cut","Pollen","Multi-Order","First","Non-Native","Single"
"Megachile_sculpturalis",4.05,"Resin","Pollen","Multi-Order","First","Non-Native","Single"
"Osmia_atriventris",2.33,"Leaf pulp","Pollen","Multi-Order","First","Native","Single"
"Osmia_caerulescens",2.56,"Leaf pulp","Pollen","Multi-Order","First","Non-Native","Single"
"Osmia_lignaria",3.65,"Mud","Pollen","Multi-Order","First","Native","Single"
"Osmia_pumila",1.95,"Leaf pulp","Pollen","Multi-Order","First","Native","Single"
"Hylaeus_affinis",1.33,"Secretions","Pollen","Multi-Order","First","Native","None"
"Hylaeus_annulatus",1.23,"Secretions","Pollen","Multi-Order","First","Native","None"
"Hylaeus_hyalinatus",1.71,"Secretions","Pollen","Multi-Order","First","Non-Native","None"
"Hylaeus_leptocephalus",1.11,"Secretions","Pollen","Multi-Order","First","Non-Native","None"
"Hylaeus_mesillae",1.6,"Secretions","Pollen","Multi-Order","First","Native","None"
"Hylaeus_modestus",1.53,"Secretions","Pollen","Multi-Order","First","Native","None"
"Hylaeus_punctatus",1.23,"Secretions","Pollen","Multi-Order","First","Non-Native","None"
"Hylaeus_verticalis",1.3,"Secretions","Pollen","Multi-Order","First","Native","None"
"Ancistrocerus_adiabatus",2.05,"Mud","Caterpillars","Order","Second","Native","Single"
"Ancistrocerus_antilope",2.62,"Mud","Caterpillars","Order","Second","Native","Single"
"Ancistrocerus_gazella",2.12,"Mud","Caterpillars","Order","Second","Non-Native","Single"
"Euodynerus_foraminatus",2.75,"Mud","Caterpillars","Order","Second","Native","Single"
"Euodynerus_planitarsis",3.02,"Mud","Caterpillars","Order","Second","Native","Single"
"Monobia_quadridrens",2.9,"Mud","Caterpillars","Order","Second","Native","Single"
"Symmorphus_albomarginatus",1.5,"Mud","Beetle larva","Family","Second","Native","Single"
"Symmorphus_bifasciatus",NA,"Mud","Beetle larva","Family","Second","Non-Native","Single"
"Symmorphus_canadensis",1.42,"Mud","Beetle larva","Multi-Order","Second","Native","Single"
"Symmorphus_cristatus",1.63,"Mud","Beetle larva","Family","Second","Native","Single"
"Auplopus_mellipes",1.4,"Mud","Single Spider","Order","Third","Native","Single"
"Dipogon_sayi",1.31,"Mud","Single Spider","Order","Third","Native","Multi"
"Isodontia_mexicana",2.56,"Grass","Tree crickets","Order","Second","Native","Single"
"Passaloecus_cuspidatus",1.15,"Resin","Aphids","Family","Second","Native","Single"
"Passaloecus_gracilis",1.11,"Resin","Aphids","Family","Second","Non-Native","Single"
"Passaloecus_monilicornis",NA,"Resin","Aphids","Family","Second","Native","Single"
"Psenulus_pallipes",1.03,"Secretions","Aphids","Family","Second","Non-Native","None"
"Trypoxylon_collinum",1.87,"Mud","Spiders","Order","Third","Native","Single"
"Trypoxylon_frigidum",1.03,"Mud","Spiders","Order","Third","Native","Single"
"Trypoxylon_lactitarse",3.3,"Mud","Spiders","Order","Third","Native","Single"
